frame_id,c1_rater1,c1_rater2,c1_rater3,c2_rater1,c2_rater2,c2_rater3,c3_rater1,c3_rater2,c3_rater3,dir_name
150,0,0,0,0,1,0,1,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
300,0,0,0,0,1,0,1,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
450,1,0,0,1,1,1,0,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
600,1,0,0,1,1,1,1,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
750,1,0,0,1,1,1,0,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
900,1,0,0,0,1,0,0,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
1050,1,0,0,0,1,0,0,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
1200,0,0,0,0,0,0,1,1,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
1350,1,0,0,1,1,1,1,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
1500,1,0,0,1,1,0,0,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
1650,0,0,0,0,0,0,1,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
1800,1,0,0,1,0,0,0,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
1950,0,0,0,0,0,0,1,1,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
2100,1,0,0,1,0,0,0,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
2250,1,0,0,1,1,0,1,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
2400,1,0,0,0,0,0,0,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
2550,1,0,0,0,0,0,0,0,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
0,0,0,0,0,0,0,1,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
150,0,0,1,1,0,0,1,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
300,0,0,1,0,0,0,0,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
450,0,0,1,1,0,0,1,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
600,0,0,0,0,0,0,0,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
750,0,0,1,1,0,0,1,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
900,0,0,1,1,0,0,1,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
1050,0,0,1,1,0,0,1,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
1200,0,0,1,0,0,0,0,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
1350,0,0,1,1,0,0,1,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
1500,0,0,1,1,0,0,1,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
1650,0,0,0,0,0,0,0,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
1800,1,1,1,1,0,1,0,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
1950,1,1,1,1,0,1,0,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
2100,0,0,1,1,0,1,0,0,0,9650c863-9b84-44d7-bce8-70f3e64677cc
2250,0,0,0,1,0,0,1,0,1,9650c863-9b84-44d7-bce8-70f3e64677cc
2400,1,0,0,1,0,1,1,0,1,9650c863-9b84-44d7-bce8-70f3e64677cc
2550,0,0,1,0,0,1,0,0,1,9650c863-9b84-44d7-bce8-70f3e64677cc
0,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
150,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
300,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
450,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
600,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
750,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
900,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
1050,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
1200,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
1350,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
1500,0,0,0,1,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
1650,0,0,0,1,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
1800,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
1950,0,0,0,0,0,0,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
2100,0,0,0,1,0,0,1,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
2250,0,0,0,0,0,0,1,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
2400,1,0,0,1,0,1,0,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
2550,1,0,0,1,0,1,1,0,0,3bc9d7fa-a9d3-4d67-b898-90c43cb20ce4
0,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
150,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
300,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
450,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
600,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
750,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
900,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
1050,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
1200,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
1350,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
1500,0,0,0,1,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
1650,0,0,0,1,1,1,0,0,0,e53f76df-2758-4172-9989-867715403365
1800,0,0,0,1,1,0,0,0,0,e53f76df-2758-4172-9989-867715403365
1950,0,0,0,0,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
2100,0,0,0,1,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
2250,0,0,0,1,1,1,0,0,0,e53f76df-2758-4172-9989-867715403365
2400,0,0,0,1,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
2550,0,0,0,1,0,0,0,0,0,e53f76df-2758-4172-9989-867715403365
0,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
150,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
300,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
450,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
600,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
750,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
900,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
1050,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
1200,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
1350,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
1500,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
1650,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
1800,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
1950,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
2100,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
2250,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
2400,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
2550,0,0,0,0,0,0,0,0,0,2eaf2852-fc08-43a0-b4dd-08a80d97fe9f
0,0,0,1,1,1,1,0,0,0,69cce7a5-dac8-43e7-9187-13473c7eaa8c
150,0,0,1,1,1,1,0,0,0,69cce7a5-dac8-43e7-9187-13473c7eaa8c
300,0,0,1,1,1,1,0,0,0,69cce7a5-dac8-43e7-9187-13473c7eaa8c
450,0,0,1,1,1,1,0,0,0,69cce7a5-dac8-43e7-9187-13473c7eaa8c
600,0,0,1,1,1,1,0,0,0,69cce7a5-dac8-43e7-9187-13473c7eaa8c
750,0,1,1,1,1,1,0,0,0,69cce7a5-dac8-43e7-9187-13473c7eaa8c
900,0,1,1,1,1,1,0,0,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
1050,0,1,1,1,1,1,0,0,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
1200,1,1,1,1,1,1,1,0,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
1350,1,1,1,1,1,1,1,1,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
1500,1,1,1,1,1,1,0,1,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
1650,0,0,1,1,1,1,0,0,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
1800,1,1,1,1,1,1,1,1,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
1950,1,1,1,1,1,1,1,1,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
2100,1,1,1,1,1,1,1,0,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
2250,1,1,1,1,1,1,1,1,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
2400,0,1,1,1,1,1,0,0,1,69cce7a5-dac8-43e7-9187-13473c7eaa8c
2550,0,1,1,1,1,1,0,0,0,69cce7a5-dac8-43e7-9187-13473c7eaa8c
0,0,0,0,0,0,0,1,0,0,4443a680-b365-43f7-a28d-3d18691acf98
150,0,0,0,0,0,0,1,0,0,4443a680-b365-43f7-a28d-3d18691acf98
300,0,0,0,0,0,0,1,0,0,4443a680-b365-43f7-a28d-3d18691acf98
450,0,0,0,0,0,0,1,0,0,4443a680-b365-43f7-a28d-3d18691acf98
600,0,0,0,0,0,0,1,0,0,4443a680-b365-43f7-a28d-3d18691acf98
750,0,0,0,0,0,0,1,0,0,4443a680-b365-43f7-a28d-3d18691acf98
900,0,0,0,0,0,0,1,0,0,4443a680-b365-43f7-a28d-3d18691acf98
1050,0,0,0,0,0,0,1,0,0,4443a680-b365-43f7-a28d-3d18691acf98
1200,0,0,0,0,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
1350,0,0,0,0,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
1500,0,0,0,0,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
1650,0,0,0,0,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
1800,0,0,0,0,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
1950,0,0,0,0,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
2100,0,0,0,1,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
2250,0,0,0,0,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
2400,0,0,0,1,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
2550,0,0,0,0,0,0,0,0,0,4443a680-b365-43f7-a28d-3d18691acf98
0,0,0,0,1,0,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
150,0,0,0,1,0,0,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
300,0,0,0,1,1,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
450,0,0,0,1,1,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
600,0,0,0,1,1,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
750,0,0,0,1,1,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
900,0,0,0,1,1,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
1050,0,0,0,1,1,0,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
1200,0,0,0,1,1,0,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
1350,0,0,0,1,1,0,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
1500,0,0,0,0,1,0,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
1650,0,0,0,0,0,0,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
1800,0,0,0,1,1,0,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
1950,0,0,0,1,1,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
2100,0,0,0,1,1,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
2250,0,0,0,1,1,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
2400,0,0,0,0,1,0,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
2550,0,0,0,0,1,1,0,0,0,25c32fc5-bdb0-44e4-9c6a-f8ab85393823
0,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
150,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
300,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
450,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
600,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
750,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
900,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
1050,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
1200,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
1350,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
1500,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
1650,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
1800,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
1950,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
2100,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
2250,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
2400,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
2550,0,0,0,0,0,0,0,0,0,05cf4a5b-41c7-458f-9610-60afa53e2594
0,0,0,0,0,0,1,1,0,1,a1c96bb1-8753-4409-9640-bc481d8f6546
150,0,0,0,0,0,1,0,0,0,a1c96bb1-8753-4409-9640-bc481d8f6546
300,0,0,0,0,0,1,1,0,1,a1c96bb1-8753-4409-9640-bc481d8f6546
450,0,0,0,0,0,1,1,0,1,a1c96bb1-8753-4409-9640-bc481d8f6546
600,0,0,0,0,0,1,1,0,1,a1c96bb1-8753-4409-9640-bc481d8f6546
750,0,0,0,0,0,1,0,0,0,a1c96bb1-8753-4409-9640-bc481d8f6546
900,0,0,0,0,0,0,0,0,0,a1c96bb1-8753-4409-9640-bc481d8f6546
1050,0,0,0,0,0,0,0,0,0,a1c96bb1-8753-4409-9640-bc481d8f6546
1200,0,0,0,0,0,1,1,1,1,a1c96bb1-8753-4409-9640-bc481d8f6546
1350,0,0,0,0,0,1,1,1,1,a1c96bb1-8753-4409-9640-bc481d8f6546
1500,0,0,0,0,0,1,1,1,1,a1c96bb1-8753-4409-9640-bc481d8f6546
1650,0,0,0,0,0,1,1,1,1,a1c96bb1-8753-4409-9640-bc481d8f6546
1800,0,0,0,0,0,1,0,1,0,a1c96bb1-8753-4409-9640-bc481d8f6546
1950,0,0,0,0,0,1,1,1,1,a1c96bb1-8753-4409-9640-bc481d8f6546
2100,0,0,0,0,0,1,1,1,1,a1c96bb1-8753-4409-9640-bc481d8f6546
2250,0,0,0,0,0,1,1,1,1,a1c96bb1-8753-4409-9640-bc481d8f6546
2400,0,0,0,0,0,1,1,1,1,a1c96bb1-8753-4409-9640-bc481d8f6546
2550,0,1,0,0,1,1,1,1,1,a1c96bb1-8753-4409-9640-bc481d8f6546
0,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
150,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
300,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
450,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
600,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
750,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
900,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
1050,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
1200,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
1350,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
1500,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
1650,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
1800,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
1950,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
2100,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
2250,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
2400,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
2550,0,0,0,0,0,0,0,0,0,1f5bf6e3-25fb-4d06-aa97-2aa11c9f5378
0,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
150,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
300,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
450,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
600,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
750,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
900,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
1050,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
1200,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
1350,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
1500,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
1650,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
1800,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
1950,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
2100,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
2250,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
2400,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
2550,0,0,0,0,0,0,0,0,0,27a098bb-ff8c-4be9-86f3-b28f4369d86a
0,0,0,0,0,0,1,1,0,1,dc86e91d-545d-4678-8244-346897a2f08d
150,0,0,0,0,0,1,1,0,1,dc86e91d-545d-4678-8244-346897a2f08d
300,0,0,0,0,0,1,1,1,1,dc86e91d-545d-4678-8244-346897a2f08d
450,0,0,0,0,0,0,1,0,0,dc86e91d-545d-4678-8244-346897a2f08d
600,0,0,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
750,0,0,0,1,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
900,0,0,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
1050,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
1200,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
1350,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
1500,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
1650,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
1800,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
1950,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
2100,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
2250,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
2400,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
2550,0,1,0,0,0,0,1,1,0,dc86e91d-545d-4678-8244-346897a2f08d
0,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
150,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
300,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
450,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
600,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
750,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
900,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
1050,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
1200,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
1350,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
1500,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
1650,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
1800,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
1950,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
2100,0,0,0,0,0,0,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
2250,0,0,0,0,0,1,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
2400,0,0,0,0,0,1,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
2550,0,0,0,0,0,1,0,0,0,6049780c-7a2b-4959-bb8b-36f6f996f071
0,0,0,0,0,0,0,0,0,0,4593fa58-efb5-4153-b3e0-05f8877cd68d
150,0,0,0,0,0,0,0,0,0,4593fa58-efb5-4153-b3e0-05f8877cd68d
300,0,0,0,0,0,0,0,0,0,4593fa58-efb5-4153-b3e0-05f8877cd68d
